Ano,UF,Partido,C,NECr,K,Massa de recursos %,Amplitude %,Distância relativa no corte %,Fronteira válida,Empate na fronteira,Candidatos com peso fracionário
2018,MA,PODE,5,1.9559842667166136,2,84.18079096045197,40.0,14.285714285714285,True,False,0
2018,MA,PP,4,1.887929379420696,2,98.03950564174262,50.0,96.22495889399684,True,False,0
2018,MA,PPL,1,,0,,0.0,,False,False,0
2018,MA,PPS,1,,0,,0.0,,False,False,0
2018,MA,PR,4,2.9721675328645674,3,99.79716024340772,75.0,99.3103448275862,True,False,0
2018,MA,PRB,2,1.0634281399446261,1,96.92307692307692,50.0,96.82539682539682,True,False,0
2018,MA,PROS,3,1.8759648455363747,2,98.68000073130153,66.66666666666666,96.1374882974455,True,False,0
2018,MA,PRP,1,,0,,0.0,,False,False,0
2018,MA,PRTB,4,1.0,1,100.0,25.0,100.0,True,False,0
2018,MA,PSB,4,1.411764705882353,1,83.33333333333334,25.0,90.0,True,False,0
2018,MA,PSC,3,1.0,1,100.0,33.33333333333333,100.0,True,False,0
2018,MA,PSD,2,1.9983518676324648,2,100.0,100.0,,False,False,0
2018,MA,PSDB,11,2.6181592338947124,3,89.37397931409909,27.27272727272727,0.0,True,True,3
2018,MA,PSL,23,2.0,2,100.0,8.695652173913043,100.0,True,False,0
2018,MA,PSOL,15,14.989544421430717,15,100.0,100.0,,False,False,0
2018,MA,PSTU,3,,0,,0.0,,False,False,0
2018,MA,PT,22,2.296518024396556,2,71.08304910997275,9.090909090909092,0.0,True,True,2
2018,MA,PTB,3,1.2191743056034186,1,90.22556390977444,33.33333333333333,91.66666666666666,True,False,0
2018,MA,PTC,3,3.0,3,100.0,100.0,,False,False,0
